FeatureName,Category,System,Material,Notes
"Floor_Slab_12m_x_8m","Architectural reference","House","Floor","Low-rise floor plate, 12 m x 8 m"
"Exterior_Wall_South","Wall","Architectural reference","Walls","Low wall reference segment"
"Exterior_Wall_North","Wall","Architectural reference","Walls","Low wall reference segment"
"Exterior_Wall_West","Wall","Architectural reference","Walls","Low wall reference segment"
"Exterior_Wall_East","Wall","Architectural reference","Walls","Low wall reference segment"
"Interior_Wall_Living_To_Service_A","Wall","Architectural reference","Walls","Low wall reference segment"
"Interior_Wall_Living_To_Service_B","Wall","Architectural reference","Walls","Low wall reference segment"
"Interior_Wall_Living_Kitchen","Wall","Architectural reference","Walls","Low wall reference segment"
"Interior_Wall_Kitchen_Service","Wall","Architectural reference","Walls","Low wall reference segment"
"Interior_Wall_Bedroom_1","Wall","Architectural reference","Walls","Low wall reference segment"
"Interior_Wall_Bath_Laundry","Wall","Architectural reference","Walls","Low wall reference segment"
"Interior_Wall_Bedroom_Divider","Wall","Architectural reference","Walls","Low wall reference segment"
"Interior_Wall_Service_Divider","Wall","Architectural reference","Walls","Low wall reference segment"
"MVHR_Main_Unit_Casing","MVHR unit","Equipment","Galvanised steel","Compact MVHR/ERV unit in ceiling service zone"
"MVHR_Service_Access_Panel","MVHR unit","Equipment","Dark steel","Removable filter/service access panel"
"MVHR_Filter_Drawer_1","MVHR unit","Equipment","Dark steel","Filter cassette detail"
"MVHR_Filter_Drawer_2","MVHR unit","Equipment","Dark steel","Filter cassette detail"
"MVHR_Supply_Port","Collar/flange","Supply air - blue","Supply air - blue","Round supply outlet on MVHR unit"
"MVHR_Extract_Port","Collar/flange","Extract air - orange","Extract air - orange","Round extract inlet on MVHR unit"
"MVHR_Fresh_Air_Port","Collar/flange","Outdoor intake - green","Outdoor intake - green","Outdoor intake inlet"
"MVHR_Exhaust_Port","Collar/flange","Exhaust air - grey","Exhaust air - grey","Outdoor exhaust outlet"
"SUP_Main_Trunk_01_Unit_To_Hall","Round duct","Supply air - blue","Supply air - blue","Main supply trunk from MVHR to hallway"
"SUP_Main_Trunk_01_Unit_To_Hall_Start_Collar","Collar/flange","Supply air - blue","Supply air - blue","Joint collar"
"SUP_Main_Trunk_01_Unit_To_Hall_End_Collar","Collar/flange","Supply air - blue","Supply air - blue","Joint collar"
"SUP_Main_Trunk_02_Hall_Run","Round duct","Supply air - blue","Supply air - blue","Main supply trunk along central hallway"
"SUP_Main_Trunk_02_Hall_Run_Start_Collar","Collar/flange","Supply air - blue","Supply air - blue","Joint collar"
"SUP_Main_Trunk_02_Hall_Run_End_Collar","Collar/flange","Supply air - blue","Supply air - blue","Joint collar"
"SUP_Elbow_Unit_Hall","Duct fitting","Supply air - blue","Supply air - blue","90 degree elbow with inspection collar"
"SUP_Tee_Living_North","Duct fitting","Supply air - blue","Supply air - blue","T-branch to living area diffuser"
"SUP_Tee_Living_South","Duct fitting","Supply air - blue","Supply air - blue","T-branch to second living area diffuser"
"SUP_Tee_Bedroom_2","Duct fitting","Supply air - blue","Supply air - blue","T-branch to bedroom diffuser"
"SUP_Tee_Bedroom_1","Duct fitting","Supply air - blue","Supply air - blue","T-branch to bedroom diffuser"
"SUP_Branch_Living_North","Round duct","Supply air - blue","Supply air - blue","Branch to open-plan living/dining"
"SUP_Branch_Living_North_Start_Collar","Collar/flange","Supply air - blue","Supply air - blue","Joint collar"
"SUP_Branch_Living_North_End_Collar","Collar/flange","Supply air - blue","Supply air - blue","Joint collar"
"SUP_Branch_Living_South","Round duct","Supply air - blue","Supply air - blue","Branch to lounge zone"
"SUP_Branch_Living_South_Start_Collar","Collar/flange","Supply air - blue","Supply air - blue","Joint collar"
"SUP_Branch_Living_South_End_Collar","Collar/flange","Supply air - blue","Supply air - blue","Joint collar"
"SUP_Branch_Bedroom_2","Round duct","Supply air - blue","Supply air - blue","Branch to bedroom 2"
"SUP_Branch_Bedroom_2_Start_Collar","Collar/flange","Supply air - blue","Supply air - blue","Joint collar"
"SUP_Branch_Bedroom_2_End_Collar","Collar/flange","Supply air - blue","Supply air - blue","Joint collar"
"SUP_Branch_Bedroom_1","Round duct","Supply air - blue","Supply air - blue","Branch to bedroom 1"
"SUP_Branch_Bedroom_1_Start_Collar","Collar/flange","Supply air - blue","Supply air - blue","Joint collar"
"SUP_Branch_Bedroom_1_End_Collar","Collar/flange","Supply air - blue","Supply air - blue","Joint collar"
"SUP_Diffuser_Living_North_Face","Round diffuser","Supply air - blue","Supply air - blue","Ceiling supply diffuser for living/dining"
"SUP_Diffuser_Living_North_Neck","Diffuser neck","Supply air - blue","Supply air - blue","Vertical drop from duct to diffuser"
"SUP_Diffuser_Living_North_Slot_A","Diffuser grille detail","Supply air - blue","Dark steel","Linear grille slot"
"SUP_Diffuser_Living_North_Slot_B","Diffuser grille detail","Supply air - blue","Dark steel","Linear grille slot"
"SUP_Diffuser_Living_North_Slot_C","Diffuser grille detail","Supply air - blue","Dark steel","Linear grille slot"
"SUP_Diffuser_Living_South_Face","Round diffuser","Supply air - blue","Supply air - blue","Ceiling supply diffuser for lounge"
"SUP_Diffuser_Living_South_Neck","Diffuser neck","Supply air - blue","Supply air - blue","Vertical drop from duct to diffuser"
"SUP_Diffuser_Living_South_Slot_A","Diffuser grille detail","Supply air - blue","Dark steel","Linear grille slot"
"SUP_Diffuser_Living_South_Slot_B","Diffuser grille detail","Supply air - blue","Dark steel","Linear grille slot"
"SUP_Diffuser_Living_South_Slot_C","Diffuser grille detail","Supply air - blue","Dark steel","Linear grille slot"
"SUP_Diffuser_Bedroom_2_Face","Round diffuser","Supply air - blue","Supply air - blue","Ceiling supply diffuser for bedroom 2"
"SUP_Diffuser_Bedroom_2_Neck","Diffuser neck","Supply air - blue","Supply air - blue","Vertical drop from duct to diffuser"
"SUP_Diffuser_Bedroom_2_Slot_A","Diffuser grille detail","Supply air - blue","Dark steel","Linear grille slot"
"SUP_Diffuser_Bedroom_2_Slot_B","Diffuser grille detail","Supply air - blue","Dark steel","Linear grille slot"
"SUP_Diffuser_Bedroom_2_Slot_C","Diffuser grille detail","Supply air - blue","Dark steel","Linear grille slot"
"SUP_Diffuser_Bedroom_1_Face","Round diffuser","Supply air - blue","Supply air - blue","Ceiling supply diffuser for bedroom 1"
"SUP_Diffuser_Bedroom_1_Neck","Diffuser neck","Supply air - blue","Supply air - blue","Vertical drop from duct to diffuser"
"SUP_Diffuser_Bedroom_1_Slot_A","Diffuser grille detail","Supply air - blue","Dark steel","Linear grille slot"
"SUP_Diffuser_Bedroom_1_Slot_B","Diffuser grille detail","Supply air - blue","Dark steel","Linear grille slot"
"SUP_Diffuser_Bedroom_1_Slot_C","Diffuser grille detail","Supply air - blue","Dark steel","Linear grille slot"
"SUP_Flow_Arrow_Main_Shaft","Airflow arrow","Supply air - blue","Supply air - blue","Flow direction arrow shaft"
"SUP_Flow_Arrow_Main_Head","Airflow arrow","Supply air - blue","Supply air - blue","Flow direction arrow head"
"SUP_Flow_Arrow_Hall_Shaft","Airflow arrow","Supply air - blue","Supply air - blue","Flow direction arrow shaft"
"SUP_Flow_Arrow_Hall_Head","Airflow arrow","Supply air - blue","Supply air - blue","Flow direction arrow head"
"SUP_Flow_Arrow_Living_Shaft","Airflow arrow","Supply air - blue","Supply air - blue","Flow direction arrow shaft"
"SUP_Flow_Arrow_Living_Head","Airflow arrow","Supply air - blue","Supply air - blue","Flow direction arrow head"
"SUP_Flow_Arrow_Bedroom_Shaft","Airflow arrow","Supply air - blue","Supply air - blue","Flow direction arrow shaft"
"SUP_Flow_Arrow_Bedroom_Head","Airflow arrow","Supply air - blue","Supply air - blue","Flow direction arrow head"
"SUP_Hanger_Main_01_Rod_A","Duct hanger","Support","Hangers","Threaded hanger rod"
"SUP_Hanger_Main_01_Rod_B","Duct hanger","Support","Hangers","Threaded hanger rod"
"SUP_Hanger_Main_01_Cross_Bracket","Duct hanger","Support","Hangers","Duct support cross bracket"
"SUP_Hanger_Main_02_Rod_A","Duct hanger","Support","Hangers","Threaded hanger rod"
"SUP_Hanger_Main_02_Rod_B","Duct hanger","Support","Hangers","Threaded hanger rod"
"SUP_Hanger_Main_02_Cross_Bracket","Duct hanger","Support","Hangers","Duct support cross bracket"
"SUP_Hanger_Main_03_Rod_A","Duct hanger","Support","Hangers","Threaded hanger rod"
"SUP_Hanger_Main_03_Rod_B","Duct hanger","Support","Hangers","Threaded hanger rod"
"SUP_Hanger_Main_03_Cross_Bracket","Duct hanger","Support","Hangers","Duct support cross bracket"
"SUP_Hanger_Living_Rod_A","Duct hanger","Support","Hangers","Threaded hanger rod"
"SUP_Hanger_Living_Rod_B","Duct hanger","Support","Hangers","Threaded hanger rod"
"SUP_Hanger_Living_Cross_Bracket","Duct hanger","Support","Hangers","Duct support cross bracket"
"EXT_Main_Trunk_01_Unit_To_Hall","Round duct","Extract air - orange","Extract air - orange","Main extract trunk back to MVHR"
"EXT_Main_Trunk_01_Unit_To_Hall_Start_Collar","Collar/flange","Extract air - orange","Extract air - orange","Joint collar"
"EXT_Main_Trunk_01_Unit_To_Hall_End_Collar","Collar/flange","Extract air - orange","Extract air - orange","Joint collar"
"EXT_Main_Trunk_02_Service_Run","Round duct","Extract air - orange","Extract air - orange","Extract trunk through service zone"
"EXT_Main_Trunk_02_Service_Run_Start_Collar","Collar/flange","Extract air - orange","Extract air - orange","Joint collar"
"EXT_Main_Trunk_02_Service_Run_End_Collar","Collar/flange","Extract air - orange","Extract air - orange","Joint collar"
"EXT_Elbow_Unit_Hall","Duct fitting","Extract air - orange","Extract air - orange","90 degree elbow with inspection collar"
"EXT_Tee_Kitchen","Duct fitting","Extract air - orange","Extract air - orange","T-branch to kitchen extract grille"
"EXT_Tee_Bathroom","Duct fitting","Extract air - orange","Extract air - orange","T-branch to bathroom extract grille"
"EXT_Tee_Laundry","Duct fitting","Extract air - orange","Extract air - orange","Short laundry extract branch"
"EXT_Branch_Kitchen","Round duct","Extract air - orange","Extract air - orange","Branch to kitchen extract point"
"EXT_Branch_Kitchen_Start_Collar","Collar/flange","Extract air - orange","Extract air - orange","Joint collar"
"EXT_Branch_Kitchen_End_Collar","Collar/flange","Extract air - orange","Extract air - orange","Joint collar"
"EXT_Branch_Bathroom","Round duct","Extract air - orange","Extract air - orange","Branch to bathroom extract grille"
"EXT_Branch_Bathroom_Start_Collar","Collar/flange","Extract air - orange","Extract air - orange","Joint collar"
"EXT_Branch_Bathroom_End_Collar","Collar/flange","Extract air - orange","Extract air - orange","Joint collar"
"EXT_Branch_Laundry","Round duct","Extract air - orange","Extract air - orange","Short branch to laundry extract"
"EXT_Branch_Laundry_Start_Collar","Collar/flange","Extract air - orange","Extract air - orange","Joint collar"
"EXT_Branch_Laundry_End_Collar","Collar/flange","Extract air - orange","Extract air - orange","Joint collar"
"EXT_Grille_Kitchen_Face","Rectangular extract grille","Extract air - orange","Extract air - orange","Rectangular kitchen extract grille"
"EXT_Grille_Kitchen_Neck","Grille neck","Extract air - orange","Extract air - orange","Vertical drop from duct to grille"
"EXT_Grille_Kitchen_Louvre_1","Grille louvre detail","Extract air - orange","Dark steel","Extract grille louvre"
"EXT_Grille_Kitchen_Louvre_2","Grille louvre detail","Extract air - orange","Dark steel","Extract grille louvre"
"EXT_Grille_Kitchen_Louvre_3","Grille louvre detail","Extract air - orange","Dark steel","Extract grille louvre"
"EXT_Grille_Bathroom_Face","Rectangular extract grille","Extract air - orange","Extract air - orange","Bathroom extract grille"
"EXT_Grille_Bathroom_Neck","Grille neck","Extract air - orange","Extract air - orange","Vertical drop from duct to grille"
"EXT_Grille_Bathroom_Louvre_1","Grille louvre detail","Extract air - orange","Dark steel","Extract grille louvre"
"EXT_Grille_Bathroom_Louvre_2","Grille louvre detail","Extract air - orange","Dark steel","Extract grille louvre"
"EXT_Grille_Bathroom_Louvre_3","Grille louvre detail","Extract air - orange","Dark steel","Extract grille louvre"
"EXT_Grille_Laundry_Face","Rectangular extract grille","Extract air - orange","Extract air - orange","Laundry extract grille"
"EXT_Grille_Laundry_Neck","Grille neck","Extract air - orange","Extract air - orange","Vertical drop from duct to grille"
"EXT_Grille_Laundry_Louvre_1","Grille louvre detail","Extract air - orange","Dark steel","Extract grille louvre"
"EXT_Grille_Laundry_Louvre_2","Grille louvre detail","Extract air - orange","Dark steel","Extract grille louvre"
"EXT_Grille_Laundry_Louvre_3","Grille louvre detail","Extract air - orange","Dark steel","Extract grille louvre"
"EXT_Flow_Arrow_Kitchen_Shaft","Airflow arrow","Extract air - orange","Extract air - orange","Flow direction arrow shaft"
"EXT_Flow_Arrow_Kitchen_Head","Airflow arrow","Extract air - orange","Extract air - orange","Flow direction arrow head"
"EXT_Flow_Arrow_Service_Shaft","Airflow arrow","Extract air - orange","Extract air - orange","Flow direction arrow shaft"
"EXT_Flow_Arrow_Service_Head","Airflow arrow","Extract air - orange","Extract air - orange","Flow direction arrow head"
"EXT_Flow_Arrow_Main_Shaft","Airflow arrow","Extract air - orange","Extract air - orange","Flow direction arrow shaft"
"EXT_Flow_Arrow_Main_Head","Airflow arrow","Extract air - orange","Extract air - orange","Flow direction arrow head"
"EXT_Hanger_Main_01_Rod_A","Duct hanger","Support","Hangers","Threaded hanger rod"
"EXT_Hanger_Main_01_Rod_B","Duct hanger","Support","Hangers","Threaded hanger rod"
"EXT_Hanger_Main_01_Cross_Bracket","Duct hanger","Support","Hangers","Duct support cross bracket"
"EXT_Hanger_Main_02_Rod_A","Duct hanger","Support","Hangers","Threaded hanger rod"
"EXT_Hanger_Main_02_Rod_B","Duct hanger","Support","Hangers","Threaded hanger rod"
"EXT_Hanger_Main_02_Cross_Bracket","Duct hanger","Support","Hangers","Duct support cross bracket"
"EXT_Hanger_Kitchen_Rod_A","Duct hanger","Support","Hangers","Threaded hanger rod"
"EXT_Hanger_Kitchen_Rod_B","Duct hanger","Support","Hangers","Threaded hanger rod"
"EXT_Hanger_Kitchen_Cross_Bracket","Duct hanger","Support","Hangers","Duct support cross bracket"
"OA_Fresh_Air_Intake_Duct","Round duct","Outdoor intake - green","Outdoor intake - green","Outdoor air intake through exterior wall"
"OA_Fresh_Air_Intake_Duct_Start_Collar","Collar/flange","Outdoor intake - green","Outdoor intake - green","Joint collar"
"OA_Fresh_Air_Intake_Duct_End_Collar","Collar/flange","Outdoor intake - green","Outdoor intake - green","Joint collar"
"EA_Exhaust_Air_Duct","Round duct","Exhaust air - grey","Exhaust air - grey","Exhaust air through exterior wall"
"EA_Exhaust_Air_Duct_Start_Collar","Collar/flange","Exhaust air - grey","Exhaust air - grey","Joint collar"
"EA_Exhaust_Air_Duct_End_Collar","Collar/flange","Exhaust air - grey","Exhaust air - grey","Joint collar"
"OA_Intake_Wall_Flange","Collar/flange","Outdoor intake - green","Outdoor intake - green","Exterior wall intake flange"
"EA_Exhaust_Wall_Flange","Collar/flange","Exhaust air - grey","Exhaust air - grey","Exterior wall exhaust flange"
"OA_Intake_Rain_Hood","Outdoor terminal","Fresh air","Outdoor intake - green","Simplified louvred weather hood"
"EA_Exhaust_Rain_Hood","Outdoor terminal","Exhaust air","Exhaust air - grey","Simplified exhaust weather hood"
"OA_Flow_Arrow_Intake_Shaft","Airflow arrow","Outdoor intake - green","Outdoor intake - green","Flow direction arrow shaft"
"OA_Flow_Arrow_Intake_Head","Airflow arrow","Outdoor intake - green","Outdoor intake - green","Flow direction arrow head"
"EA_Flow_Arrow_Exhaust_Shaft","Airflow arrow","Exhaust air - grey","Exhaust air - grey","Flow direction arrow shaft"
"EA_Flow_Arrow_Exhaust_Head","Airflow arrow","Exhaust air - grey","Exhaust air - grey","Flow direction arrow head"
"Ceiling_Service_Zone_North_Rail","Ceiling reference","Reference","Ceiling reference","Ceiling service-zone reference rail"
"Ceiling_Service_Zone_South_Rail","Ceiling reference","Reference","Ceiling reference","Ceiling service-zone reference rail"
"Ceiling_Service_Zone_West_Rail","Ceiling reference","Reference","Ceiling reference","Ceiling service-zone reference rail"
"Ceiling_Service_Zone_East_Rail","Ceiling reference","Reference","Ceiling reference","Ceiling service-zone reference rail"
